segment,target_time_s,experiment_id,config_id,config_desc,nsga2_variant,use_improved,representative_time_s,representative_energy_kWh,time_gap_s,status,point_count,source_file
IS02,169,E1,A,Original CC_CR + Original NSGA-II,original,0,145.883812525522,22.4368765662549,-23.1161874744777,closest to target,7,C:\Users\inshaallah_kaya\Baru\new_single_train_simulator_cakra\experiment_results\IS02\E1_all_configs.mat
IS02,169,E1,B,Original CC_CR + BRL-SDE-NSGA-II,rl_sde,0,146.366292589471,23.5592608370743,-22.6337074105293,closest to target,6,C:\Users\inshaallah_kaya\Baru\new_single_train_simulator_cakra\experiment_results\IS02\E1_all_configs.mat
IS02,169,E1,C,Improved CC_CR + Original NSGA-II,original,1,149.82964473637,27.8954089727002,-19.1703552636305,closest to target,8,C:\Users\inshaallah_kaya\Baru\new_single_train_simulator_cakra\experiment_results\IS02\E1_all_configs.mat
IS02,169,E1,D,Improved CC_CR + BRL-SDE-NSGA-II,rl_sde,1,139.066093930625,23.66351612775,-29.9339060693745,closest to target,9,C:\Users\inshaallah_kaya\Baru\new_single_train_simulator_cakra\experiment_results\IS02\E1_all_configs.mat
IS03,184,E1,A,Original CC_CR + Original NSGA-II,original,0,184.750332775404,25.4459354616725,0.750332775404047,within target window,500,C:\Users\inshaallah_kaya\Baru\new_single_train_simulator_cakra\experiment_results\IS03\E1_all_configs.mat
IS03,184,E1,B,Original CC_CR + BRL-SDE-NSGA-II,rl_sde,0,NaN,NaN,NaN,missing,0,C:\Users\inshaallah_kaya\Baru\new_single_train_simulator_cakra\experiment_results\IS03\E1_all_configs.mat
IS03,184,E1,C,Improved CC_CR + Original NSGA-II,original,1,NaN,NaN,NaN,missing,0,C:\Users\inshaallah_kaya\Baru\new_single_train_simulator_cakra\experiment_results\IS03\E1_all_configs.mat
IS03,184,E1,D,Improved CC_CR + BRL-SDE-NSGA-II,rl_sde,1,184.165513300358,25.4713440320202,0.165513300358441,within target window,500,C:\Users\inshaallah_kaya\Baru\new_single_train_simulator_cakra\experiment_results\IS03\E1_all_configs.mat
IS04,177,E5,A,Original CC_CR + Original NSGA-II,original,0,177.56470277682,16.9703970767015,0.564702776819644,within target window,1584,C:\Users\inshaallah_kaya\Baru\new_single_train_simulator_cakra\experiment_results\IS04\E5_all_configs.mat
IS04,177,E5,B,Original CC_CR + BRL-SDE-NSGA-II,rl_sde,0,178.293099332578,17.1731556538077,1.29309933257838,closest to target,952,C:\Users\inshaallah_kaya\Baru\new_single_train_simulator_cakra\experiment_results\IS04\E5_all_configs.mat
IS04,177,E5,C,Improved CC_CR + Original NSGA-II,original,1,177.877152535296,16.9895769568927,0.877152535296204,within target window,1795,C:\Users\inshaallah_kaya\Baru\new_single_train_simulator_cakra\experiment_results\IS04\E5_all_configs.mat
IS04,177,E5,D,Improved CC_CR + BRL-SDE-NSGA-II,rl_sde,1,177.909934043212,17.0039925777609,0.909934043211933,within target window,1346,C:\Users\inshaallah_kaya\Baru\new_single_train_simulator_cakra\experiment_results\IS04\E5_all_configs.mat
IS04,177,E5,C_LLM,Improved CC_CR + Original NSGA-II + LLM advisor,original,1,177.999276151054,17.0023824535304,0.999276151054374,within target window,1785,C:\Users\inshaallah_kaya\Baru\new_single_train_simulator_cakra\experiment_results\IS04\E5_all_configs.mat
IS04,177,E5,D_LLM,Improved CC_CR + BRL-SDE-NSGA-II + LLM advisor,rl_sde,1,177.940004655831,17.003495669465,0.940004655831018,within target window,1324,C:\Users\inshaallah_kaya\Baru\new_single_train_simulator_cakra\experiment_results\IS04\E5_all_configs.mat
IS05,185,E1,A,Original CC_CR + Original NSGA-II,original,0,185.449390109151,23.039343412527,0.449390109151238,within target window,500,C:\Users\inshaallah_kaya\Baru\new_single_train_simulator_cakra\experiment_results\IS05\E1_all_configs.mat
IS05,185,E1,B,Original CC_CR + BRL-SDE-NSGA-II,rl_sde,0,185.722205208465,24.1106681482816,0.722205208465112,within target window,500,C:\Users\inshaallah_kaya\Baru\new_single_train_simulator_cakra\experiment_results\IS05\E1_all_configs.mat
IS05,185,E1,C,Improved CC_CR + Original NSGA-II,original,1,185.906391591368,23.0242047704331,0.906391591368276,within target window,500,C:\Users\inshaallah_kaya\Baru\new_single_train_simulator_cakra\experiment_results\IS05\E1_all_configs.mat
IS05,185,E1,D,Improved CC_CR + BRL-SDE-NSGA-II,rl_sde,1,185.850356228006,23.0270676629876,0.850356228006461,within target window,500,C:\Users\inshaallah_kaya\Baru\new_single_train_simulator_cakra\experiment_results\IS05\E1_all_configs.mat
IS06,219,E1,A,Original CC_CR + Original NSGA-II,original,0,219.500563075178,17.6250871713946,0.500563075178349,within target window,500,C:\Users\inshaallah_kaya\Baru\new_single_train_simulator_cakra\experiment_results\IS06\E1_all_configs.mat
IS06,219,E1,B,Original CC_CR + BRL-SDE-NSGA-II,rl_sde,0,219.647633411513,17.6197097597488,0.647633411513425,within target window,500,C:\Users\inshaallah_kaya\Baru\new_single_train_simulator_cakra\experiment_results\IS06\E1_all_configs.mat
