segment,target_time_s,experiment_id,config_id,config_desc,nsga2_variant,use_improved,representative_time_s,representative_energy_kWh,time_gap_s,status,point_count,source_file
IS06,219,E1,C,Improved CC_CR + Original NSGA-II,original,1,219.612942814603,17.6134153216548,0.612942814602548,within target window,500,C:\Users\inshaallah_kaya\Baru\new_single_train_simulator_cakra\experiment_results\IS06\E1_all_configs.mat
IS06,219,E1,D,Improved CC_CR + BRL-SDE-NSGA-II,rl_sde,1,219.982644619814,17.6292571104803,0.982644619814408,within target window,500,C:\Users\inshaallah_kaya\Baru\new_single_train_simulator_cakra\experiment_results\IS06\E1_all_configs.mat
IS07,214,E1,A,Original CC_CR + Original NSGA-II,original,0,214.777409041773,22.9756209208972,0.77740904177287,within target window,500,C:\Users\inshaallah_kaya\Baru\new_single_train_simulator_cakra\experiment_results\IS07\E1_all_configs.mat
IS07,214,E1,B,Original CC_CR + BRL-SDE-NSGA-II,rl_sde,0,214.91109638981,22.9883405985645,0.911096389810211,within target window,500,C:\Users\inshaallah_kaya\Baru\new_single_train_simulator_cakra\experiment_results\IS07\E1_all_configs.mat
IS07,214,E1,C,Improved CC_CR + Original NSGA-II,original,1,214.167389141538,23.021833974134,0.167389141537939,within target window,500,C:\Users\inshaallah_kaya\Baru\new_single_train_simulator_cakra\experiment_results\IS07\E1_all_configs.mat
IS07,214,E1,D,Improved CC_CR + BRL-SDE-NSGA-II,rl_sde,1,214.848228680638,22.9967642645699,0.848228680638357,within target window,500,C:\Users\inshaallah_kaya\Baru\new_single_train_simulator_cakra\experiment_results\IS07\E1_all_configs.mat
IS08,329,E1,A,Original CC_CR + Original NSGA-II,original,0,287.13120507426,56.8239812970375,-41.8687949257403,closest to target,2,C:\Users\inshaallah_kaya\Baru\new_single_train_simulator_cakra\experiment_results\IS08\E1_all_configs.mat
IS08,329,E1,B,Original CC_CR + BRL-SDE-NSGA-II,rl_sde,0,384.409190105011,42.5011818402259,55.4091901050109,closest to target,2,C:\Users\inshaallah_kaya\Baru\new_single_train_simulator_cakra\experiment_results\IS08\E1_all_configs.mat
IS08,329,E1,C,Improved CC_CR + Original NSGA-II,original,1,325.872139613491,43.2561576727067,-3.1278603865087,closest to target,2,C:\Users\inshaallah_kaya\Baru\new_single_train_simulator_cakra\experiment_results\IS08\E1_all_configs.mat
IS08,329,E1,D,Improved CC_CR + BRL-SDE-NSGA-II,rl_sde,1,290.103637944644,54.8989814436139,-38.8963620553556,closest to target,2,C:\Users\inshaallah_kaya\Baru\new_single_train_simulator_cakra\experiment_results\IS08\E1_all_configs.mat
