config,run_id,hv,igd,feasible,E_best_kWh,energy_saving_pct,runtime_s
A,1,0.64632474311818,0.253705492784376,0.333333333333333,25.2097130692784,67.9163504807712,0.1415119
A,2,0.710520690072451,0.230105614030789,0.666666666666667,23.6213756168532,69.9377801575722,0.1413207
A,3,0.801921459437317,0.21490414938607,0.666666666666667,22.4368765662549,71.445256751646,0.1202238
B,1,0.637143853808293,0.522209349334569,0,NaN,NaN,0.1261949
B,2,0.670374931016911,0.493720645396344,0,NaN,NaN,0.1150854
B,3,0.696134901039934,0.289559530220921,0.333333333333333,23.5592608370743,70.0168317841779,0.1082661
C,1,0.415390517297965,0.281728430880935,0.666666666666667,31.84525723932,59.4714914323588,0.2711887
C,2,0.574362279082502,0.233904922919456,0.666666666666667,27.8954089727002,64.4983454505743,0.2884501
C,3,0.680323837390649,0.206740188710389,0.666666666666667,30.1088077742323,61.6814188477413,0.2886234
D,1,0.566074315099218,0.234685154944888,0.666666666666667,23.66351612775,69.8841491869039,0.215973
D,2,0.58323287193423,0.270718418827371,0.333333333333333,25.8463250537318,67.1061534058257,0.2017161
D,3,0.486582157100176,0.345493485601007,1,26.7000284930912,66.0196705146284,0.2021813
