config,run_id,hv,igd,feasible,E_best_kWh,energy_saving_pct,runtime_s
A,1,0.639205420561732,0.277369419753028,0.5,56.8239812970375,66.3029654427421,0.7808525
B,1,0.727708060525994,0.273335757792376,0,NaN,NaN,0.2571352
C,1,0.687306520083525,0.242643108027826,1,43.2561576727067,74.3487836184512,0.4942682
D,1,0.11,0.645802835381734,0.5,54.8989814436139,67.4445043687891,0.4088193
